hfpxzc href,DUwDvf,F7nice,DkEaL,Io6YTe,ZDu9vd,Io6YTe (2),CsEnBe href,Io6YTe (3),CsEnBe href (2),Io6YTe (4),aoRNLd src
https://www.google.com.tw/maps/place/%E5%B0%88%E6%A5%AD%E3%80%94%E5%BF%AB%E6%8D%B7%E4%BF%AE%E6%B0%B4%E9%9B%BB%E3%80%95/data=!4m7!3m6!1s0x346e04dc27fb2d2b:0x596eab73333f29d9!8m2!3d22.6481449!4d120.3244403!16s%2Fg%2F11c310lw13!19sChIJKy37J9wEbjQR2Sk_M3Orblk?authuser=0&hl=zh-TW&rclk=1,專業〔快捷修水電〕,4.3,水匠,807高雄市三民區大順二路425巷25-3號,營業中,,tel:0976589274,,,0976 589 274,https://lh3.googleusercontent.com/p/AF1QipP3Z65ZhQjItwM06qy2HEZYtOQ3A-wEXAEe58yO=w426-h240-k-no
https://www.google.com.tw/maps/place/%E5%BB%A3%E5%A4%A7%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E8%A1%8C/data=!4m7!3m6!1s0x346e04dded3b7da1:0xf46fe66abaf9ab46!8m2!3d22.648088!4d120.321334!16s%2Fg%2F1tg9kwc7!19sChIJoX077d0EbjQRRqv5umrmb_Q?authuser=0&hl=zh-TW&rclk=1,廣大水電材料行,4.3,衛浴用品店,807高雄市三民區建興路410號,已打烊,07 382 5343,tel:073825343,,,07 382 5343,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyT06oJzqqR2KW_K-lOSaNELDwNJrUSaP6ktxdvFBIyP7wHSjt2RAU-UAwLLELq9TrviHvUAw6qBSLKH4IiOXFZOOgp2XyMZaTqqwFveR9mNo54Sbum5X2fAVvmFJjlyj-YfQw=w408-h544-k-no
https://www.google.com.tw/maps/place/%E7%92%9F%E6%98%87%E5%9C%9F%E6%B0%B4.%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x346e04e8382bf003:0x18975b855b642f6e!8m2!3d22.6423366!4d120.3185819!16s%2Fg%2F1pzr4qqd7!19sChIJA_ArOOgEbjQRbi9kW4Vblxg?authuser=0&hl=zh-TW&rclk=1,璟昇土水.水電工程行,4.2,修繕公司,807高雄市三民區延慶街83號,已打烊,0938 651 608,tel:0938651608,,,0938 651 608,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BnKoxopi0mLbWBmg0-qXdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.90797&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E8%B3%80%E5%85%A8%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e052699b8f651:0x1f0b8d65481ac1ce!8m2!3d22.6485975!4d120.3333721!16s%2Fg%2F11bzymmbdr!19sChIJUfa4mSYFbjQRzsEaSGWNCx8?authuser=0&hl=zh-TW&rclk=1,賀全水電行,5.0,水電承辦商,80776高雄市三民區皓東路123號,已打烊,0933 606 444,tel:0933606444,,,0933 606 444,https://lh3.googleusercontent.com/p/AF1QipPcfoYbTLPHRUmagBjqOTlY4CUvTFtpe4KDS5Hl=w408-h542-k-no
https://www.google.com.tw/maps/place/%E6%9D%B1%E6%BC%A2%E6%B0%B4%E9%9B%BB.%E5%AE%B6%E9%9B%BB.%E7%A9%BA%E8%AA%BF%E8%A1%8C/data=!4m7!3m6!1s0x346e04c4ccf7b47f:0x2ecf69937954d84a!8m2!3d22.6463001!4d120.324701!16s%2Fg%2F1tpg_h2z!19sChIJf7T3zMQEbjQRSthUeZNpzy4?authuser=0&hl=zh-TW&rclk=1,東漢水電.家電.空調行,4.6,家庭用品維修服務,807高雄市三民區建德路146號,,J8WF+GV 寶興里 高雄市三民區,tel:0938765382,,,0938 765 382,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx37FOx6i4MiB7zoCO5v5ZaEHk_LCN_qW5Hy0t7OnRVGLZ-x5ts_iMDO4kF8qVUbGezZx9LndKT-NblvirjQIhNnH5XJgR37S0Lejc5zDvSCKuBeKl1Z9bwGMdjspetzVr0bc4R=w493-h240-k-no
https://www.google.com.tw/maps/place/%E9%AB%98%E9%9B%84%E6%8A%93%E6%BC%8F%E5%B0%88%E5%AE%B6%EF%BD%9C%E9%95%B7%E9%9D%92%E6%B0%B4%E9%9B%BB%EF%BC%8D%E9%AB%98%E9%9B%84%E4%B8%89%E6%B0%91%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E6%89%BF%E5%8C%85%E7%B5%B1%E5%8C%85+%E5%B0%88%E6%A5%AD+%E8%80%81%E5%B1%8B%E8%88%8A%E5%B1%8B%E4%BF%AE%E7%B9%95%E6%94%B9%E9%80%A0%E6%94%B9%E5%BB%BA+%E5%A4%96%E7%89%86%E6%8B%89%E7%9A%AE+%E5%84%AA%E8%B3%AA%E8%A1%9B%E6%B5%B4%E5%BB%9A%E6%AB%83%E8%A8%AD%E5%82%99+%E7%AE%A1%E5%85%A7%E6%BC%8F%E6%B0%B4+%E7%AE%A1%E7%B7%9A%E4%BF%AE%E6%94%B9+%E6%B1%A1%E6%B0%B4%E6%B1%A0%E4%B8%8D%E9%80%9A+%E6%96%BD%E5%B7%A5+%E5%A3%81%E7%99%8C%E8%99%95%E7%90%86+%E5%A4%96%E5%A3%81%E6%B4%A9%E6%B0%B4%E6%8E%92%E6%B0%B4+%E9%A6%AC%E6%A1%B6+%E7%AE%A1%E8%B7%AF%E7%96%8F%E9%80%9A+%E6%B3%A5%E4%BD%9C%E9%A6%96%E9%81%B8/data=!4m7!3m6!1s0x346e04cd0694d89f:0x8a6bb8f901842865!8m2!3d22.6376343!4d120.3409065!16s%2Fg%2F11xchtd04!19sChIJn9iUBs0EbjQRZSiEAfm4a4o?authuser=0&hl=zh-TW&rclk=1,高雄抓漏專家｜長青水電－高雄三民水電工程承包統包 專業 老屋舊屋修繕改造改建 外牆拉皮 優質衛浴廚櫃設備 管內漏水 管線修改 污水池不通 施工 壁癌處理 外壁洩水排水 馬桶 管路疏通 泥作首選,3.1,水電承辦商,807高雄市三民區陽明路23號,營業中,m.facebook.com,https://m.facebook.com/61576598002130/,m.facebook.com,https://m.facebook.com/61576598002130/,07 396 3427,https://lh3.googleusercontent.com/p/AF1QipNK3gQGuma5MahCYKCmX2sa-RlFkOZb9_pPZQ-U=w408-h544-k-no
https://www.google.com.tw/maps/place/%E6%B8%AF%E9%83%BD%E8%81%B7%E4%BA%BA%E6%B0%B4%E9%9B%BB%E7%B6%AD%E4%BF%AE/data=!4m7!3m6!1s0x346e05872827b9b3:0xb3080c1c4884cd07!8m2!3d22.6470319!4d120.3127498!16s%2Fg%2F11fp35qqxs!19sChIJs7knKIcFbjQRB82ESBwMCLM?authuser=0&hl=zh-TW&rclk=1,港都職人水電維修,5.0,水電承辦商,807高雄市三民區同盟一路61號,24 小時營業,lin.ee,https://lin.ee/Bw6j6q1,maintenancestaff.tw,https://maintenancestaff.tw/,0958 494 319,https://lh3.googleusercontent.com/p/AF1QipOod3Mf3bdMLdGaLjO9HJbx-oEaeqqNUsMNpt1L=w408-h544-k-no
https://www.google.com.tw/maps/place/%E7%AB%A3%E5%8D%87%E6%B0%B4%E9%9B%BB%E5%AE%85%E4%BF%AE/data=!4m7!3m6!1s0x346e04ef01fa1def:0xb07a5821767752fd!8m2!3d22.6432591!4d120.3121752!16s%2Fg%2F11ggj__m39!19sChIJ7x36Ae8EbjQR_VJ3diFYerA?authuser=0&hl=zh-TW&rclk=1,竣升水電宅修,4.9,水匠,807高雄市三民區熱河一街61號,已打烊,0935 832 255,tel:0935832255,,,0935 832 255,https://lh3.googleusercontent.com/p/AF1QipO5JV1ZYWZVm68-8ZukVVd09L2KMhU1pVZOrgcs=w408-h360-k-no
https://www.google.com.tw/maps/place/%E6%98%B1%E9%9C%87%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99/data=!4m7!3m6!1s0x346e0527c3134a7b:0x579f5572fb3f500b!8m2!3d22.6539901!4d120.3312526!16s%2Fg%2F11fyxbptsh!19sChIJe0oTwycFbjQRC1A_-3JVn1c?authuser=0&hl=zh-TW&rclk=1,昱震水電材料,4.9,家居用品店,807高雄市三民區大豐一路17號,已打烊,07 381 9903,tel:073819903,,,07 381 9903,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzMeotyZDRaliwNrHDXe_j7cxnKy_lZet4U3iGBqq6aGt7SPj1oYLQm_0qpkIMmj9o_nx0I6LNjWZOeAs8w3aMHPqspm-lLZWQJQvEt84VowMTm2pvLjx-jVOpNXitZyWmSaY72Pg=w408-h544-k-no
https://www.google.com.tw/maps/place/%E5%AE%8F%E6%98%87%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x346e04dde37c4819:0x779855ce34e6ad4e!8m2!3d22.6490389!4d120.32136!16s%2Fg%2F1pzrfcvqq!19sChIJGUh8490EbjQRTq3mNM5VmHc?authuser=0&hl=zh-TW&rclk=1,宏昇水電工程行,4.4,建築工程,807高雄市三民區建工路676號,已打烊,聲明商家擁有權,tel:073841112,,,07 384 1112,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyhf0MHAvudBeb5uXlfPjvPdUTcUVQdVqB9IO9K5BByg8iRLiCLAB1ojigGZCmtSZ1ebtXog0_WeZjBqzchgFWz8HDelVivUQ2i2gnOVWEs2hmLEVvWZBTAdONy8-3ozpF7EUv-QQVtjJs=w408-h544-k-no
